id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,smith low bar squat,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Set up the smith machine with the barbell at a height that allows you to comfortably rest it on your upper back. Stand with your feet shoulder-width apart, toes slightly turned outwards. Step under the bar and position it across your upper back, resting it on your traps. Grip the bar with your hands slightly wider than shoulder-width apart. Unrack the bar by straightening your legs and stepping back from the rack. Take a deep breath and brace your core. Initiate the squat by pushing your hips back and bending your knees. Lower your body until your thighs are parallel to the ground or slightly below. Keep your chest up and your back straight throughout the movement. Drive through your heels to stand back up, extending your hips and knees. Repeat for the desired number of repetitions."
,smith leg press,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Adjust the seat and footplate of the smith machine to a comfortable position. Sit on the machine with your back against the backrest and your feet shoulder-width apart on the footplate. Grasp the handles or sides of the machine for stability. Push the footplate away from you by extending your legs, keeping your back against the backrest. Pause for a moment at the fully extended position. Slowly bend your knees and lower the footplate back towards you, returning to the starting position. Repeat for the desired number of repetitions."
,smith sumo squat,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Set up the smith machine with the barbell at hip height. Stand with your feet wider than shoulder-width apart, toes pointing outwards. Position yourself under the barbell, resting it on your upper back and shoulders. Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. Lower yourself until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions."
,smith bent knee good morning,glutes,"hamstrings, lower back",upper legs,smith machine,,,,,,"Start by standing with your feet shoulder-width apart, toes pointing forward. Place the barbell across your upper back, resting it on your traps. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. Engage your glutes and hamstrings to raise your torso back up to the starting position. Repeat for the desired number of repetitions."
,smith deadlift,glutes,"hamstrings, quadriceps, lower back",upper legs,smith machine,,,,,,"Set up the smith machine with the bar at hip height. Stand with your feet shoulder-width apart, toes pointing slightly outward. Bend at the hips and knees, keeping your back straight and chest up, and grip the bar with an overhand grip slightly wider than shoulder-width apart. Engage your core and lift the bar by extending your hips and knees, keeping the bar close to your body. Stand up straight, fully extending your hips and knees. Lower the bar back down by bending at the hips and knees, maintaining control and keeping your back straight. Repeat for the desired number of repetitions."
,smith full squat,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Set up the smith machine with the barbell at shoulder height. Stand with your feet shoulder-width apart, toes slightly turned out. Step under the bar and position it across your upper back, resting on your traps. Grip the bar with your hands slightly wider than shoulder-width apart. Unrack the bar and take a step back, maintaining a stable stance. Keeping your chest up and core engaged, initiate the squat by pushing your hips back and bending your knees. Lower your body until your thighs are parallel to the ground, or as low as your flexibility allows. Pause for a moment at the bottom, then drive through your heels to return to the starting position. Repeat for the desired number of repetitions."
,smith squat,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Set up the smith machine with the barbell at an appropriate height for your squat. Stand with your feet shoulder-width apart, toes slightly turned out. Position yourself under the barbell, resting it on your upper traps and shoulders. Grip the barbell with a wide grip, slightly wider than shoulder-width apart. Engage your core and unrack the barbell, stepping back to clear the rack. Keeping your chest up and back straight, initiate the squat by bending at the hips and knees. Lower your body until your thighs are parallel to the ground or slightly below. Pause for a moment at the bottom, then drive through your heels to return to the starting position. Repeat for the desired number of repetitions."
,smith sprint lunge,glutes,"quadriceps, hamstrings, calves",upper legs,smith machine,,,,,,"Set up the smith machine with the barbell at hip height. Stand facing away from the machine with your feet shoulder-width apart. Step back with your right foot and place it on the barbell, resting the top of your foot on the bar. Bend your left knee and lower your body into a lunge position, keeping your back straight. Push through your left heel to return to the starting position. Repeat on the other side, stepping back with your left foot. Continue alternating sides for the desired number of repetitions."
,exercise ball hip flexor stretch,glutes,"quadriceps, hamstrings",upper legs,stability ball,,,,,,"Place the stability ball on the ground and kneel in front of it. Place your right foot on top of the stability ball, with your knee bent at a 90-degree angle. Extend your left leg behind you, keeping it straight. Lean forward, pushing your hips towards the stability ball, until you feel a stretch in your right hip flexor. Hold the stretch for 20-30 seconds, then switch sides and repeat."
,reverse hyper extension (on stability ball),glutes,"hamstrings, lower back",upper legs,stability ball,,,,,,"Lie face down on a stability ball with your hips resting on the ball and your legs extended straight behind you. Place your hands on the ground in front of you for stability. Engaging your glutes and hamstrings, lift your legs up towards the ceiling as high as you can. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,tire flip,glutes,"hamstrings, quadriceps, core",upper legs,tire,,,,,,"Stand with your feet shoulder-width apart, facing the tire. Bend your knees and hinge at the hips, lowering into a squat position. Reach down and grab the bottom edge of the tire with both hands, fingers facing towards you. Engage your glutes and leg muscles, and explosively drive through your legs to lift the tire off the ground. As the tire flips over, use your upper body strength to guide it and maintain control. Once the tire is fully flipped, quickly step back and reset your stance. Repeat for the desired number of repetitions."
,trap bar deadlift,glutes,"hamstrings, quadriceps, lower back",upper legs,trap bar,,,,,,"Stand with your feet shoulder-width apart and the trap bar on the ground in front of you. Bend at the hips and knees to lower yourself down and grip the handles of the trap bar with an overhand grip. Keep your back straight and chest up as you begin to lift the trap bar off the ground by extending your hips and knees. As you lift, focus on driving through your heels and squeezing your glutes at the top of the movement. Lower the trap bar back down to the ground by bending at the hips and knees, keeping your back straight throughout the movement. Repeat for the desired number of repetitions."
,weighted cossack squats  ,glutes,"quadriceps, hamstrings, calves",upper legs,weighted,,,,,,"Stand with your feet wider than shoulder-width apart and toes pointing slightly outward. Hold a weight in front of your chest with both hands. Shift your weight to one side and lower your body by bending the knee of the side you shifted towards, while keeping the other leg straight. Go as low as you can while maintaining balance and keeping your chest up. Push through the heel of the bent leg to return to the starting position. Repeat on the other side, alternating between legs."
,weighted lunge with swing,glutes,"quadriceps, hamstrings, calves",upper legs,weighted,,,,,,"Stand with your feet shoulder-width apart, holding a weight in each hand. Take a step forward with your right foot, lowering your body into a lunge position. As you lunge forward, swing the weights forward and upward, keeping your arms straight. Push off with your right foot and return to the starting position, swinging the weights back down. Repeat with your left foot and continue alternating legs for the desired number of repetitions."
,weighted stretch lunge,glutes,"quadriceps, hamstrings, calves",upper legs,weighted,,,,,,"Stand with your feet shoulder-width apart. Take a step forward with your right foot, keeping your back straight. Lower your body by bending your knees until your right thigh is parallel to the ground. Push through your right heel to return to the starting position. Repeat with your left leg. Continue alternating legs for the desired number of repetitions."
,weighted squat,glutes,"quadriceps, hamstrings, calves",upper legs,weighted,,,,,,"Stand with your feet shoulder-width apart, toes pointing slightly outward. Hold a weight in front of your chest or on your shoulders. Engage your core and keep your chest up as you lower your hips down and back, as if sitting into a chair. Lower until your thighs are parallel to the ground, or as low as you can comfortably go. Push through your heels to stand back up, squeezing your glutes at the top. Repeat for the desired number of repetitions."
,assisted parallel close grip pull-up,hamstrings,"glutes, lower back",upper legs,assisted,,,,,,"Lie face down on a mat or bench with your legs fully extended. Have a partner or use a resistance band to secure your ankles. Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,barbell straight leg deadlift,hamstrings,"glutes, lower back",upper legs,barbell,,,,,,"Stand with your feet shoulder-width apart and your toes pointing forward. Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Bend at your hips and lower the barbell towards the ground, keeping your back straight and your knees slightly bent. Lower the barbell until you feel a stretch in your hamstrings. Engage your hamstrings and glutes to lift the barbell back up to the starting position. Repeat for the desired number of repetitions."
,power clean,hamstrings,"glutes, quadriceps, calves",upper legs,barbell,,,,,,"Start with the barbell on the ground in front of you, with your feet shoulder-width apart. Bend down and grip the barbell with an overhand grip, slightly wider than shoulder-width apart. Keep your back straight and chest up as you lift the barbell off the ground, extending your hips and knees. As the barbell reaches your mid-thigh, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides. As the barbell reaches its highest point, quickly drop underneath it, rotating your elbows around and catching the barbell on your shoulders in a front squat position. Stand up with the barbell, fully extending your hips and knees. Lower the barbell back down to the starting position, keeping control of the weight throughout the movement. Repeat for the desired number of repetitions."
,barbell good morning,hamstrings,lower back,upper legs,barbell,,,,,,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper back. Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes. Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward. Repeat for the desired number of repetitions."
,hamstring stretch,hamstrings,glutes,upper legs,body weight,,,,,,"Stand with your feet shoulder-width apart. Step forward with your right foot and shift your weight onto your right leg. Keeping your back straight, slowly bend forward at the hips, reaching towards your right foot with both hands. Hold the stretch for 20-30 seconds, then return to the starting position. Repeat on the other side."
,single leg platform slide,hamstrings,"glutes, quadriceps",upper legs,body weight,,,,,,"Start by standing with one foot on a platform or slide board. Bend your knee slightly and slide the foot on the platform backward, extending your leg. Keep your core engaged and maintain a straight posture throughout the movement. Slowly return to the starting position by sliding your foot back to the initial position. Repeat the movement for the desired number of repetitions, then switch legs."
,nordic curl,hamstrings,"glutes, calves",upper legs,body weight,,,,,,"Start off with a kneeling position and your feet are hooked by your ankles to a pad, or any kind of stabilized support you wish. Slightly start to lean forward with your whole body trying to contract the hamstrings, lean as much as you can and slowly come back to starting position."
,seated wide angle pose sequence,hamstrings,"quadriceps, calves",upper legs,body weight,,,,,,"Sit on the ground with your legs extended in a wide angle. Flex your feet and engage your quadriceps. Place your hands on the ground behind you for support. Keeping your back straight, lean forward from your hips. Continue leaning forward until you feel a stretch in your hamstrings. Hold this position for a few breaths. Slowly release the stretch and return to the starting position. Repeat for the desired number of repetitions."
,runners stretch,hamstrings,"calves, quadriceps",upper legs,body weight,,,,,,"Stand with your feet hip-width apart. Take a step forward with your right foot, keeping your left foot planted. Bend your right knee and lower your body down, keeping your left leg straight. Place your hands on your right thigh for support. Hold the stretch for 20-30 seconds, then switch sides and repeat."
,glute-ham raise,hamstrings,"glutes, lower back",upper legs,body weight,,,,,,"Adjust the glute-ham raise machine to fit your body. Position yourself face down on the machine with your ankles secured. Place your hands on your chest or cross them over your chest. Engage your hamstrings and glutes to lift your upper body up towards the ceiling. Continue lifting until your body is in a straight line from your head to your heels. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,leg up hamstring stretch,hamstrings,glutes,upper legs,body weight,,,,,,"Lie flat on your back with your legs extended. Bend one knee and bring it towards your chest, holding onto your thigh or shin. Straighten your leg as much as possible while keeping it elevated. Hold the stretch for 20-30 seconds. Repeat with the other leg."
,cable assisted inverse leg curl,hamstrings,"glutes, calves",upper legs,cable,,,,,,"Adjust the cable machine so that the ankle attachment is at the lowest setting. Lie face down on the bench with your legs straight and the ankle attachment secured to your ankles. Hold onto the handles of the bench for stability. Keeping your upper body stationary, exhale and curl your legs up towards your glutes by flexing your knees. Pause for a moment at the top of the movement, squeezing your hamstrings. Inhale and slowly lower your legs back to the starting position. Repeat for the desired number of repetitions."
,dumbbell lying femoral,hamstrings,glutes,upper legs,dumbbell,,,,,,"Lie flat on your back with your legs extended and a dumbbell resting on your lower abdomen. Bend your knees and bring the dumbbell towards your glutes, keeping your feet flat on the ground. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions."
,kettlebell hang clean,hamstrings,"glutes, quadriceps, calves",upper legs,kettlebell,,,,,,"Stand with your feet shoulder-width apart, holding a kettlebell in front of your thighs. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Lower the kettlebell towards the ground, allowing it to swing between your legs. Quickly extend your hips and knees, using the momentum to swing the kettlebell up to shoulder height. As the kettlebell reaches shoulder height, rotate your wrists and catch the kettlebell in the rack position, with your elbow tucked in and the kettlebell resting on your forearm. Lower the kettlebell back down to the starting position between your legs, and repeat for the desired number of repetitions."
,lever seated leg curl,hamstrings,calves,upper legs,leverage machine,,,,,,"Adjust the machine to fit your body and sit on it with your back against the backrest. Place your lower legs under the padded lever, just above your ankles. Grasp the handles on the sides of the machine for support. Keeping your upper legs stationary, exhale and curl your legs up as far as possible. Hold the contracted position for a brief pause as you squeeze your hamstrings. Inhale and slowly lower the lever back to the starting position. Repeat for the desired number of repetitions."
,lever lying leg curl,hamstrings,calves,upper legs,leverage machine,,,,,,"Adjust the machine to fit your body and select the desired weight. Lie face down on the machine with your legs straight and your heels against the padded lever. Grasp the handles or the sides of the machine for stability. Keeping your upper body stationary, exhale and curl your legs up as far as possible without lifting your hips off the pad. Hold the contracted position for a brief pause as you squeeze your hamstrings. Inhale and slowly lower the lever back to the starting position. Repeat for the desired number of repetitions."
,lever kneeling leg curl,hamstrings,glutes,upper legs,leverage machine,,,,,,"Adjust the machine to fit your body and select the desired weight. Kneel on the machine facing downwards, with your knees resting on the pad and your feet secured under the footpads. Grasp the handles or the sides of the machine for stability. Keeping your upper body stationary, exhale and curl your legs up towards your glutes by flexing your knees. Pause for a moment at the top of the movement, squeezing your hamstrings. Inhale and slowly lower your legs back to the starting position, fully extending your knees. Repeat for the desired number of repetitions."
,standing hamstring and calf stretch with strap,hamstrings,calves,upper legs,rope,,,,,,"Stand upright with your feet shoulder-width apart. Hold the strap with both hands and place it around the ball of your foot. Keep your leg straight and slowly lean forward from your hips, keeping your back straight. Feel the stretch in your hamstring and calf muscles. Hold the stretch for 20-30 seconds. Release the stretch and repeat with the other leg. Repeat for the desired number of repetitions."
,exercise ball seated hamstring stretch,hamstrings,"glutes, lower back",upper legs,stability ball,,,,,,"Sit on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. Slowly roll the ball forward, walking your feet out until your upper back is resting on the ball and your legs are extended straight in front of you. Place your hands on your hips for support. Engage your core and slowly lower your upper body towards the ground, keeping your back straight and your chest lifted. Stop when you feel a stretch in your hamstrings, and hold the position for 20-30 seconds. Slowly return to the starting position by pushing through your heels and using your hamstrings to pull yourself back up. Repeat for the desired number of repetitions."
,band fixed back close grip pulldown,lats,"biceps, forearms",back,band,,,,,,"Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam. Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent. Grasp the band with a close grip, palms facing towards you. Keep your back straight and engage your core. Pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, feeling the contraction in your lats. Slowly release the band back to the starting position, maintaining control throughout the movement. Repeat for the desired number of repetitions."
,band underhand pulldown,lats,"biceps, forearms",back,band,,,,,,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam. Stand facing the anchor point with your feet shoulder-width apart. Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. Extend your arms fully overhead, keeping your elbows slightly bent. Engage your lats and pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions."
,band kneeling one arm pulldown,lats,"biceps, rhomboids",back,band,,,,,,"Attach the band to a sturdy anchor point above your head. Kneel down and hold the band with one hand, palm facing down. Extend your arm fully overhead, keeping your elbow slightly bent. Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions, then switch sides."
,band assisted pull-up,lats,"biceps, forearms",back,band,,,,,,"Attach the band to a pull-up bar or sturdy anchor point. Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart. Hang with your arms fully extended, keeping your core engaged and your shoulders down and back. Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips. Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions."
,band close-grip pulldown,lats,"biceps, forearms",back,band,,,,,,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam. Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart. Step back to create tension in the band, keeping your feet hip-width apart. Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position. Repeat for the desired number of repetitions."
,barbell pullover,lats,"chest, triceps",back,barbell,,,,,,"Lie flat on a bench with your head at one end and your feet on the floor. Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions."
,barbell decline bent arm pullover,lats,"triceps, chest",back,barbell,,,,,,"Lie down on a decline bench with your head lower than your hips and your feet secured. Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent. Pause for a moment, then raise the barbell back to the starting position by contracting your lats. Repeat for the desired number of repetitions."
,barbell bent arm pullover,lats,"triceps, chest",back,barbell,,,,,,"Lie flat on a bench with your head at one end and your feet on the floor. Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Lower the barbell behind your head while keeping your arms slightly bent. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions."
,barbell decline wide-grip pullover,lats,"triceps, chest",back,barbell,,,,,,"Lie on a decline bench with your head lower than your hips and your feet secured. Hold a barbell with a wide grip and extend your arms straight above your chest. Lower the barbell behind your head in a controlled manner, keeping your arms straight. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions."
,shoulder grip pull-up,lats,"biceps, forearms",back,body weight,,,,,,"Grab the pull-up bar with a shoulder-width grip, palms facing away from you. Hang freely with your arms fully extended. Engage your back muscles and pull your body up towards the bar until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,kneeling lat stretch,lats,"shoulders, triceps",back,body weight,,,,,,"Kneel on the ground with your knees hip-width apart and your toes pointing back. Extend your arms overhead and interlace your fingers. Keeping your back straight, slowly lean to the right side, feeling a stretch in your left lat muscle. Hold the stretch for 20-30 seconds, then return to the starting position. Repeat the stretch on the left side, leaning to the left and feeling a stretch in your right lat muscle. Continue alternating sides for the desired number of repetitions."
,wide grip rear pull-up,lats,"biceps, forearms",back,body weight,,,,,,"Grab the pull-up bar with a wide overhand grip, hands slightly wider than shoulder-width apart. Hang from the bar with your arms fully extended and your body straight. Engage your back muscles and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,wide grip pull-up,lats,"biceps, forearms",back,body weight,,,,,,Hang from a pull-up bar with your palms facing away from you and your hands wider than shoulder-width apart. Engage your core and squeeze your shoulder blades together. Pull your body up towards the bar until your chin is above the bar. Lower your body back down to the starting position with control. Repeat for the desired number of repetitions.
,close grip chin-up,lats,"biceps, forearms",back,body weight,,,,,,"Grab the pull-up bar with your palms facing towards you and your hands shoulder-width apart. Hang from the bar with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,l-pull-up,lats,"biceps, forearms",back,body weight,,,,,,"Grab the pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your body straight. Engage your lats and biceps to pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,archer pull-up,lats,"biceps, forearms",back,body weight,,,,,,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. Continue pulling until your chin is above the bar and your bent arm is fully flexed. Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. Alternate sides with each repetition."
,standing lateral stretch,lats,"shoulders, obliques",back,body weight,,,,,,"Stand with your feet shoulder-width apart and your knees slightly bent. Extend your arms straight out to the sides, parallel to the ground. Slowly lean your upper body to one side, feeling a stretch in your side and lats. Hold the stretch for 15-30 seconds. Return to the starting position and repeat on the other side. Repeat for the desired number of repetitions."
,chin-up,lats,"biceps, forearms",back,body weight,,,,,,"Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart. Engage your core and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,pull-up (neutral grip),lats,"biceps, forearms",back,body weight,,,,,,"Hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended. Engage your core and squeeze your shoulder blades together. Pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position with control. Repeat for the desired number of repetitions."
,pull-up,lats,"biceps, forearms",back,body weight,,,,,,"Hang from a pull-up bar with your palms facing away from you and your arms fully extended. Engage your core and squeeze your shoulder blades together. Pull your body up towards the bar by bending your elbows and bringing your chest towards the bar. Pause at the top of the movement, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,side lying floor stretch,lats,"obliques, glutes",back,body weight,,,,,,"Lie on your side with your legs straight and your bottom arm extended straight overhead. Bend your top knee and place your foot on the ground in front of your bottom leg. Reach your top arm over your head and grab onto something stable, like a wall or a piece of furniture. Slowly lift your bottom leg off the ground, keeping it straight, until you feel a stretch in your side. Hold the stretch for 20-30 seconds, then slowly lower your leg back down. Repeat on the other side."
,back pec stretch,lats,"shoulders, chest",back,body weight,,,,,,"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you, parallel to the ground. Cross your arms in front of your body, with your right arm over your left arm. Interlock your fingers and rotate your palms away from your body. Slowly raise your arms up and away from your body, feeling a stretch in your back and chest. Hold the stretch for 15-30 seconds, then release. Repeat on the opposite side."
,muscle-up,lats,"biceps, triceps, shoulders, chest",back,body weight,,,,,,"Start by hanging from a pull-up bar with your palms facing away from you and your arms fully extended. Engage your core and pull your body up towards the bar, leading with your chest. As you reach the top of the movement, transition your grip so that your palms are facing towards you. Continue pulling yourself up until your chest is above the bar and your arms are fully flexed. Reverse the movement by slowly lowering yourself back down to the starting position. Repeat for the desired number of repetitions."
,seated lower back stretch,lats,"glutes, hamstrings",back,body weight,,,,,,"Sit on the edge of a chair with your feet flat on the ground. Place your hands on your thighs or on the sides of the chair for support. Slowly lean forward from your hips, keeping your back straight. Feel the stretch in your lower back and hold for 20-30 seconds. Slowly return to the starting position and repeat for the desired number of repetitions."
,cable underhand pulldown,lats,"biceps, forearms",back,cable,,,,,,"Adjust the cable machine so that the pulldown bar is at a height above your head. Sit down on the seat and grab the pulldown bar with an underhand grip, hands slightly wider than shoulder-width apart. Keep your back straight and lean back slightly. Pull the bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions."
,cable twisting pull,lats,"shoulders, biceps",back,cable,,,,,,"Attach a cable handle to a low pulley and stand facing the machine. Grasp the handle with your left hand and step away from the machine, extending your arm fully. Position your feet shoulder-width apart, with your knees slightly bent. Keep your back straight and your core engaged throughout the exercise. Pull the handle towards your body, rotating your torso to the right as you do so. Squeeze your back muscles at the end of the movement. Slowly return to the starting position, keeping tension on the cable. Repeat for the desired number of repetitions, then switch sides and perform with your right hand."
,cable cross-over lateral pulldown,lats,"biceps, rhomboids, rear deltoids",back,cable,,,,,,"Attach a cable handle to each side of a cable machine at shoulder height. Stand in the middle of the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip and step back to create tension in the cables. Lean forward slightly from the hips, keeping your back straight and your chest up. Pull the handles down and across your body, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions."
,cable bar lateral pulldown,lats,"biceps, rhomboids, rear deltoids",back,cable,,,,,,"Adjust the cable pulley to a high position and attach a straight bar. Sit facing the cable machine with your feet flat on the ground and your knees slightly bent. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Pull the bar down towards your chest, leading with your elbows and squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly return the bar to the starting position. Repeat for the desired number of repetitions."
,cable squat row (with rope attachment),lats,"biceps, rhomboids, rear deltoids",back,cable,,,,,,"Attach a rope to a cable machine at waist height. Stand facing the cable machine with your feet shoulder-width apart. Bend your knees and lower your body into a squat position, keeping your back straight and chest up. Grasp the rope with an overhand grip, with your hands shoulder-width apart. Engage your core and pull the rope towards your body, squeezing your shoulder blades together. Keep your elbows close to your body and continue pulling until your hands reach your chest. Pause for a moment at the top of the movement, then slowly release the rope and extend your arms back to the starting position. Repeat for the desired number of repetitions."
,cable lateral pulldown with v-bar,lats,"biceps, forearms",back,cable,,,,,,Sit down on the cable pulldown machine and grab the v-bar attachment with an overhand grip. Adjust the knee pad so that your thighs are secured under it. Keep your back straight and lean back slightly. Pull the v-bar down towards your upper chest while keeping your elbows close to your body. Squeeze your back muscles at the bottom of the movement. Slowly return the v-bar to the starting position and repeat for the desired number of repetitions.
,cable seated high row (v-bar),lats,"biceps, rhomboids, rear deltoids",back,cable,,,,,,"Sit on the cable machine with your feet flat on the floor and your knees slightly bent. Grasp the v-bar attachment with an overhand grip, palms facing each other, and your hands shoulder-width apart. Keep your back straight and lean slightly forward from the hips. Pull the v-bar towards your torso by retracting your shoulder blades and squeezing your back muscles. Pause for a moment at the peak of the contraction, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions."
,cable pulldown (pro lat bar),lats,"biceps, forearms",back,cable,,,,,,"Adjust the seat height so that your thighs are parallel to the ground and your feet are flat on the floor. Grasp the lat bar with an overhand grip, slightly wider than shoulder-width apart. Sit down and lean back slightly, keeping your chest up and your back straight. Pull the bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions."
,cable pulldown,lats,"biceps, forearms",back,cable,,,,,,"Adjust the cable pulldown machine so that the seat is at a comfortable height and the knee pad is secured. Sit on the seat with your back straight and your feet flat on the ground. Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and engage your core. Pull the cable bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position. Repeat for the desired number of repetitions."
,cable one arm pulldown,lats,"biceps, forearms",back,cable,,,,,,"Attach a single handle to a high pulley cable machine. Stand facing the machine with your feet shoulder-width apart. Grasp the handle with an overhand grip and extend your arm fully. Keep your back straight and your core engaged. Pull the handle down towards your side while keeping your elbow close to your body. Pause for a moment at the bottom of the movement, squeezing your lat muscle. Slowly release the handle back to the starting position. Repeat for the desired number of repetitions. Switch sides and repeat the exercise with the other arm."
,cable lat pulldown full range of motion,lats,"biceps, rhomboids, rear deltoids",back,cable,,,,,,"Sit on the lat pulldown machine with your knees positioned under the pads. Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Pull the bar down towards your upper chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position. Repeat for the desired number of repetitions."
,cable incline pushdown,lats,"triceps, shoulders",back,cable,,,,,,"Attach a straight bar to a high pulley cable machine. Stand facing away from the machine with your feet shoulder-width apart. Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart. Lean forward slightly and keep your back straight. Pull the bar down towards your thighs by extending your elbows. Pause for a moment at the bottom, then slowly return the bar to the starting position. Repeat for the desired number of repetitions."
